Name,Date,Rank,3yr Rev Growth %,Revenue,Industry,Employees,City,State,Rev./Employee
Delta Defense,"new Date(2013,1,1)",1217,3.41,10500000.0,Media,29,Jackson,WI,362068.965517
Sales Engine International,"new Date(2013,1,1)",1223,3.38,3700000.0,Advertising & Marketing,28,Austin,TX,132142.857143
SkillSurvey,"new Date(2013,1,1)",1236,3.34,10300000.0,Software,51,Wayne,PA,201960.784314
The Nerdery,"new Date(2013,1,1)",1240,3.32,37200000.0,Software,440,Minneapolis,MN,84545.4545455
BigCommerce,"new Date(2013,1,1)",1241,3.32,11800000.0,Software,172,Austin,TX,68604.6511628
Miva Merchant,"new Date(2013,1,1)",1249,3.3,9100000.0,Software,78,San Diego,CA,116666.666667
Search Influence,"new Date(2013,1,1)",1272,3.21,4600000.0,Advertising & Marketing,47,New Orleans,LA,97872.3404255
Team Velocity Marketing,"new Date(2013,1,1)",1285,3.17,38400000.0,Advertising & Marketing,87,Herndon,VA,441379.310345
Total Beauty Media Group,"new Date(2013,1,1)",1286,3.17,8400000.0,Media,35,Santa Monica,CA,240000.0
Madison Logic,"new Date(2013,1,1)",1293,3.14,14900000.0,Advertising & Marketing,51,New York,NY,292156.862745
Resonate,"new Date(2013,1,1)",1302,3.12,16800000.0,Advertising & Marketing,79,Reston,VA,212658.227848
Chenal Brands,"new Date(2013,1,1)",1304,3.12,109200000.0,Media,356,Los Angeles,CA,306741.573034
Kentico Software,"new Date(2013,1,1)",1314,3.07,4400000.0,Software,11,Nashua,NH,400000.0
Telogis,"new Date(2013,1,1)",1319,3.07,69400000.0,Software,370,Aliso Viejo,CA,187567.567568
Edvisors,"new Date(2013,1,1)",1321,3.07,10500000.0,Advertising & Marketing,28,Quincy,MA,375000.0
Procore Technologies,"new Date(2013,1,1)",1335,3.02,4800000.0,Software,31,Santa Barbara,CA,154838.709677
G3 Communications,"new Date(2013,1,1)",1340,3.01,2300000.0,Advertising & Marketing,15,Hasbrouck Heights,NJ,153333.333333
Pyxl,"new Date(2013,1,1)",1345,2.99,2800000.0,Advertising & Marketing,22,Knoxville,TN,127272.727273
Copious,"new Date(2013,1,1)",1348,2.99,2600000.0,Advertising & Marketing,17,Portland,OR,152941.176471
Authenticom,"new Date(2013,1,1)",1353,2.98,12100000.0,Software,85,La Crosse,WI,142352.941176
Elite SEM,"new Date(2013,1,1)",1357,2.98,10300000.0,Advertising & Marketing,40,Gladwyne,PA,257500.0
MINDBODY,"new Date(2013,1,1)",1358,2.98,32500000.0,Software,497,San Louis Obispo,CA,65392.3541247
Tiempo Development,"new Date(2013,1,1)",1367,2.96,7700000.0,Software,202,Phoenix,AZ,38118.8118812
Impelsys,"new Date(2013,1,1)",1371,2.94,12900000.0,Software,220,New York,NY,58636.3636364
Scorpion Design,"new Date(2013,1,1)",1393,2.89,19600000.0,Advertising & Marketing,97,Valencia,CA,202061.85567
OrecX,"new Date(2013,1,1)",1396,2.88,2100000.0,Software,11,Chicago,IL,190909.090909
Target Data,"new Date(2013,1,1)",1401,2.87,3200000.0,Advertising & Marketing,14,Chicago,IL,228571.428571
Media6Degrees,"new Date(2013,1,1)",1423,2.82,36700000.0,Advertising & Marketing,87,New York,NY,421839.08046
LogFire,"new Date(2013,1,1)",1425,2.81,7200000.0,Software,75,Atlanta,GA,96000.0
Unitrends,"new Date(2013,1,1)",1427,2.81,28500000.0,Software,159,Columbia,SC,179245.283019
Chrome River Technologies,"new Date(2013,1,1)",1429,2.81,9300000.0,Software,69,Los Angeles,CA,134782.608696
Bruce Clay,"new Date(2013,1,1)",1433,2.8,13500000.0,Advertising & Marketing,90,Moorpark,CA,150000.0
Powersports Marketing,"new Date(2013,1,1)",1435,2.8,2400000.0,Advertising & Marketing,17,Peachtree City,GA,141176.470588
Royal Buying Group,"new Date(2013,1,1)",1444,2.78,356800000.0,Advertising & Marketing,63,Lisle,IL,5663492.06349
Harmonia,"new Date(2013,1,1)",1446,2.78,8100000.0,Software,82,Blacksburg,VA,98780.4878049
Acumen,"new Date(2013,1,1)",1449,2.77,5900000.0,Software,15,Austin,TX,393333.333333
Four Winds Interactive,"new Date(2013,1,1)",1453,2.76,40300000.0,Software,250,Denver,CO,161200.0
Consultants 2 Go,"new Date(2013,1,1)",1459,2.74,4400000.0,Advertising & Marketing,48,Newark,NJ,91666.6666667
Copperfox Marketing,"new Date(2013,1,1)",1460,2.74,2100000.0,Advertising & Marketing,17,Cincinnati,OH,123529.411765
Dignitas Technologies,"new Date(2013,1,1)",1462,2.73,6400000.0,Software,35,Orlando,FL,182857.142857
Argo Marketing Group,"new Date(2013,1,1)",1467,2.72,4100000.0,Advertising & Marketing,180,Lewiston,ME,22777.7777778
Synerzip,"new Date(2013,1,1)",1468,2.71,10400000.0,Software,253,Dallas,TX,41106.7193676
Hightail,"new Date(2013,1,1)",1472,2.71,57300000.0,Software,207,Campbell,CA,276811.594203
All Terrain,"new Date(2013,1,1)",1479,2.7,9000000.0,Advertising & Marketing,31,Chicago,IL,290322.580645
Walker Sands Communications,"new Date(2013,1,1)",1483,2.69,2900000.0,Advertising & Marketing,40,Chicago,IL,72500.0
Vertical Direct Marketing Group,"new Date(2013,1,1)",1489,2.68,2500000.0,Advertising & Marketing,27,San Diego,CA,92592.5925926
Z Brand Group,"new Date(2013,1,1)",1494,2.67,3100000.0,Advertising & Marketing,15,Pittsburgh,PA,206666.666667
Aquarius Sports and Entertainment,"new Date(2013,1,1)",1495,2.67,6500000.0,Advertising & Marketing,7,Gaithersburg,MD,928571.428571
Campus Special,"new Date(2013,1,1)",1501,2.65,13500000.0,Advertising & Marketing,50,Duluth,GA,270000.0
AdCorp Media Group,"new Date(2013,1,1)",1503,2.65,6800000.0,Advertising & Marketing,38,IRVINGTON,NY,178947.368421
TriMark Digital,"new Date(2013,1,1)",1519,2.63,5900000.0,Advertising & Marketing,22,Raleigh,NC,268181.818182
BlackLine Systems,"new Date(2013,1,1)",1520,2.62,25100000.0,Software,145,Los Angeles,CA,173103.448276
One Click Ventures,"new Date(2013,1,1)",1524,2.61,7400000.0,Media,47,Greenwood,IN,157446.808511
Arke,"new Date(2013,1,1)",1527,2.61,5300000.0,Advertising & Marketing,50,Atlanta,GA,106000.0
Detroit Trading,"new Date(2013,1,1)",1528,2.61,14300000.0,Advertising & Marketing,21,Southfield,MI,680952.380952
VLG Advertising,"new Date(2013,1,1)",1531,2.6,5600000.0,Advertising & Marketing,34,Plano,TX,164705.882353
DEG,"new Date(2013,1,1)",1535,2.6,14500000.0,Advertising & Marketing,109,Overland Park,KS,133027.522936
Qualifacts Systems,"new Date(2013,1,1)",1546,2.57,13700000.0,Software,107,Nashville,TN,128037.383178
Bridge360,"new Date(2013,1,1)",1549,2.57,6400000.0,Software,61,Austin,TX,104918.032787
Dealer.com,"new Date(2013,1,1)",1551,2.57,182600000.0,Advertising & Marketing,697,Burlington,VT,261979.913917
ClearLink,"new Date(2013,1,1)",1557,2.55,96100000.0,Advertising & Marketing,863,Salt Lake City,UT,111355.735805
ModiFace,"new Date(2013,1,1)",1559,2.55,2100000.0,Software,25,New York,NY,84000.0
KSC Kreate,"new Date(2013,1,1)",1560,2.55,39100000.0,Advertising & Marketing,100,Hollywood,FL,391000.0
Levementum,"new Date(2013,1,1)",1563,2.54,7500000.0,Software,48,Chandler,AZ,156250.0
Droga5,"new Date(2013,1,1)",1565,2.54,67300000.0,Advertising & Marketing,250,New York,NY,269200.0
Percona,"new Date(2013,1,1)",1566,2.53,9300000.0,Software,73,Pleasanton,CA,127397.260274
WrightIMC,"new Date(2013,1,1)",1571,2.53,2100000.0,Advertising & Marketing,35,Plano,TX,60000.0
HEALTHCAREfirst,"new Date(2013,1,1)",1573,2.52,22400000.0,Software,133,Ozark,MO,168421.052632
Queen of Wraps,"new Date(2013,1,1)",1588,2.5,2800000.0,Advertising & Marketing,32,Salt Lake City,UT,87500.0
Motionsoft,"new Date(2013,1,1)",1591,2.49,16600000.0,Software,79,Rockville,MD,210126.582278
Optimal Strategix Group,"new Date(2013,1,1)",1596,2.48,10900000.0,Advertising & Marketing,75,Newtown,PA,145333.333333
Truenorthlogic,"new Date(2013,1,1)",1600,2.48,12200000.0,Software,67,Sandy,UT,182089.552239
Enter:Marketing,"new Date(2013,1,1)",1609,2.47,6500000.0,Advertising & Marketing,35,New York,NY,185714.285714
Internet Creations,"new Date(2013,1,1)",1616,2.45,2300000.0,Software,16,Hamilton,NJ,143750.0
CodeLynx,"new Date(2013,1,1)",1625,2.42,3100000.0,Software,32,North Charleston,SC,96875.0
SocialRadius,"new Date(2013,1,1)",1626,2.41,2300000.0,Advertising & Marketing,11,Las Vegas,NV,209090.909091
AvePoint,"new Date(2013,1,1)",1630,2.41,62000000.0,Software,1287,Jersey City,NJ,48174.048174
Transform Software & Services,"new Date(2013,1,1)",1632,2.4,7400000.0,Software,33,Littleton,CO,224242.424242
Mavice,"new Date(2013,1,1)",1633,2.4,2700000.0,Software,10,Santa Monica,CA,270000.0
AdSupply,"new Date(2013,1,1)",1634,2.39,8300000.0,Advertising & Marketing,25,Culver City,CA,332000.0
StrikeIron,"new Date(2013,1,1)",1652,2.36,5200000.0,Software,34,Cary,NC,152941.176471
Higher Logic,"new Date(2013,1,1)",1653,2.36,6000000.0,Software,,Washington,DC,null
Riser,"new Date(2013,1,1)",1657,2.35,2100000.0,Advertising & Marketing,16,Pleasant Grove,UT,131250.0
KPI Direct,"new Date(2013,1,1)",1663,2.34,2600000.0,Advertising & Marketing,20,Portland,ME,130000.0
Brightree,"new Date(2013,1,1)",1665,2.34,58000000.0,Software,413,Lawrenceville,GA,140435.835351
ZeOmega,"new Date(2013,1,1)",1678,2.32,17000000.0,Software,280,Frisco,TX,60714.2857143
Dimagi,"new Date(2013,1,1)",1693,2.29,3800000.0,Software,32,Cambridge,MA,118750.0
Bronto Software,"new Date(2013,1,1)",1702,2.28,21600000.0,Software,152,Durham,NC,142105.263158
MKG,"new Date(2013,1,1)",1706,2.27,20900000.0,Advertising & Marketing,41,New York,NY,509756.097561
Volume 9,"new Date(2013,1,1)",1707,2.27,3300000.0,Advertising & Marketing,35,Denver,CO,94285.7142857
Location Labs,"new Date(2013,1,1)",1711,2.27,25800000.0,Software,168,Emeryville,CA,153571.428571
Appia,"new Date(2013,1,1)",1715,2.26,10400000.0,Advertising & Marketing,51,Durham,NC,203921.568627
Web Decisions,"new Date(2013,1,1)",1724,2.25,5400000.0,Advertising & Marketing,35,Greensboro,NC,154285.714286
Liberty Alliance,"new Date(2013,1,1)",1726,2.25,7500000.0,Media,24,Powder Springs,GA,312500.0
Derflan,"new Date(2013,1,1)",1731,2.24,8300000.0,Advertising & Marketing,65,Delray Beach,FL,127692.307692
SurveyMonkey,"new Date(2013,1,1)",1734,2.23,112800000.0,Software,211,Palo Alto,CA,534597.156398
Blue Vase Marketing,"new Date(2013,1,1)",1736,2.22,6100000.0,Advertising & Marketing,94,Beverly,MA,64893.6170213
Airbiquity,"new Date(2013,1,1)",1746,2.21,22400000.0,Software,100,Seattle,WA,224000.0
Q1Media,"new Date(2013,1,1)",1748,2.21,12300000.0,Advertising & Marketing,27,Austin,TX,455555.555556
Main Event Merchandise Group,"new Date(2013,1,1)",1751,2.2,7700000.0,Advertising & Marketing,25,Indianapolis,IN,308000.0
iNET Interactive,"new Date(2013,1,1)",1752,2.2,14100000.0,Media,48,West Chester,OH,293750.0
Confio Software,"new Date(2013,1,1)",1756,2.19,14300000.0,Software,58,Boulder,CO,246551.724138
AccessData Group,"new Date(2013,1,1)",1757,2.19,90000000.0,Software,519,Lindon,UT,173410.404624
BrightWave Marketing,"new Date(2013,1,1)",1762,2.18,2800000.0,Advertising & Marketing,20,Atlanta,GA,140000.0
Click Rain,"new Date(2013,1,1)",1763,2.18,2100000.0,Advertising & Marketing,16,Sioux Falls,SD,131250.0
ConsumerBase,"new Date(2013,1,1)",1764,2.18,6800000.0,Advertising & Marketing,70,Evanston,IL,97142.8571429
InkHouse,"new Date(2013,1,1)",1766,2.18,4700000.0,Media,33,Waltham,MA,142424.242424
T.O.P. Marketing Group,"new Date(2013,1,1)",1771,2.17,5500000.0,Advertising & Marketing,13,Singer Island,FL,423076.923077
SonicPrint.com,"new Date(2013,1,1)",1796,2.14,5000000.0,Advertising & Marketing,26,Tampa,FL,192307.692308
Five9,"new Date(2013,1,1)",1809,2.12,64000000.0,Software,444,San Ramon,CA,144144.144144
MD Connect,"new Date(2013,1,1)",1813,2.11,2200000.0,Advertising & Marketing,6,Wellesley,MA,366666.666667
Solution Street,"new Date(2013,1,1)",1816,2.11,5200000.0,Software,21,Herndon,VA,247619.047619
Etouches,"new Date(2013,1,1)",1821,2.1,5800000.0,Software,65,Norwalk,CT,89230.7692308
BigMachines,"new Date(2013,1,1)",1822,2.1,58000000.0,Software,354,Deerfield,IL,163841.80791
Rally Software Development,"new Date(2013,1,1)",1825,2.09,56800000.0,Software,360,Boulder,CO,157777.777778
MyWebGrocer,"new Date(2013,1,1)",1834,2.09,36400000.0,Software,171,Winooski,VT,212865.497076
Gigamon,"new Date(2013,1,1)",1839,2.08,96700000.0,Software,288,Milpitas,CA,335763.888889
Prism Marketing,"new Date(2013,1,1)",1851,2.06,3100000.0,Advertising & Marketing,14,New Albany,OH,221428.571429
Ink Studios,"new Date(2013,1,1)",1852,2.06,5700000.0,Advertising & Marketing,32,Irvine,CA,178125.0
3DCart,"new Date(2013,1,1)",1860,2.05,9900000.0,Software,67,Tamarac,FL,147761.19403
CallCopy,"new Date(2013,1,1)",1880,2.03,15600000.0,Software,127,Columbus,OH,122834.645669
Force Marketing,"new Date(2013,1,1)",1881,2.03,19100000.0,Advertising & Marketing,53,Atlanta,GA,360377.358491
BAIR Analytics,"new Date(2013,1,1)",1884,2.02,4600000.0,Software,30,Highlands Ranch,CO,153333.333333
Max Borges Agency,"new Date(2013,1,1)",1887,2.02,7400000.0,Advertising & Marketing,43,Miami,FL,172093.023256
Invenio Solutions,"new Date(2013,1,1)",1888,2.01,36700000.0,Advertising & Marketing,450,Austin,TX,81555.5555556
Rimm-Kaufman Group,"new Date(2013,1,1)",1889,2.01,15100000.0,Advertising & Marketing,131,Charlottesville,VA,115267.175573
WebMetro,"new Date(2013,1,1)",1898,2.0,37200000.0,Advertising & Marketing,90,San Dimas,CA,413333.333333
Dealer Car Search,"new Date(2013,1,1)",1918,1.97,7600000.0,Advertising & Marketing,50,Louisville,KY,152000.0
Advent,"new Date(2013,1,1)",1922,1.97,9600000.0,Advertising & Marketing,48,Nashville,TN,200000.0
Warecorp,"new Date(2013,1,1)",1928,1.96,2800000.0,Software,95,Minneapolis,MN,29473.6842105
The Sales Factory,"new Date(2013,1,1)",1931,1.96,5200000.0,Advertising & Marketing,30,Greensboro,NC,173333.333333
The Asylum,"new Date(2013,1,1)",1932,1.96,16200000.0,Media,28,Burbank,CA,578571.428571
BlueToad,"new Date(2013,1,1)",1936,1.95,4300000.0,Software,33,Orlando,FL,130303.030303
AppNeta,"new Date(2013,1,1)",1943,1.95,7200000.0,Software,144,Boston,MA,50000.0
SEO.com,"new Date(2013,1,1)",1948,1.94,8800000.0,Advertising & Marketing,85,Draper,UT,103529.411765
BizNet Software,"new Date(2013,1,1)",1953,1.94,5200000.0,Software,32,Dallas,TX,162500.0
Pure Marketing Group,"new Date(2013,1,1)",1955,1.93,3900000.0,Advertising & Marketing,11,Alpharetta,GA,354545.454545
Exhibit Options,"new Date(2013,1,1)",1962,1.93,2800000.0,Advertising & Marketing,13,Santa Fe Springs,CA,215384.615385
Integrated Media Solutions,"new Date(2013,1,1)",1966,1.92,12500000.0,Media,48,Manalapan,NJ,260416.666667
Levelwing,"new Date(2013,1,1)",1971,1.92,50400000.0,Advertising & Marketing,46,Charleston,SC,1095652.17391
Olson,"new Date(2013,1,1)",1972,1.91,90700000.0,Advertising & Marketing,350,Minneapolis,MN,259142.857143
Mindscape at Hanon McKendry,"new Date(2013,1,1)",1973,1.91,2900000.0,Advertising & Marketing,26,Grand Rapids,MI,111538.461538
LinkTech Worldwide,"new Date(2013,1,1)",1975,1.9,10900000.0,Advertising & Marketing,181,Beverly Hills,CA,60220.9944751
Neolane,"new Date(2013,1,1)",1980,1.9,57700000.0,Software,282,Newton,MA,204609.929078
Pedigree Technologies,"new Date(2013,1,1)",1984,1.89,5800000.0,Software,50,Fargo,ND,116000.0
iPipeline,"new Date(2013,1,1)",2000,1.87,48600000.0,Software,352,Exton,PA,138068.181818
PrizeLogic,"new Date(2013,1,1)",2001,1.87,13600000.0,Advertising & Marketing,110,Southfield,MI,123636.363636
Centare,"new Date(2013,1,1)",2002,1.87,12700000.0,Software,98,Brookfield,WI,129591.836735
Open Dental Software,"new Date(2013,1,1)",2007,1.87,3100000.0,Software,35,Salem,OR,88571.4285714
Jackrabbit Technologies,"new Date(2013,1,1)",2017,1.85,4200000.0,Software,30,Huntersville,NC,140000.0
Akers Media Group,"new Date(2013,1,1)",2021,1.85,2400000.0,Media,19,Leesburg,FL,126315.789474
Velocify,"new Date(2013,1,1)",2023,1.85,18500000.0,Software,95,El Segundo,CA,194736.842105
Best Rate Referrals,"new Date(2013,1,1)",2026,1.85,7600000.0,Advertising & Marketing,35,Las Vegas,NV,217142.857143
Point It,"new Date(2013,1,1)",2029,1.84,3200000.0,Advertising & Marketing,21,Seattle,WA,152380.952381
Inflection,"new Date(2013,1,1)",2030,1.84,53700000.0,Software,109,Redwood City,CA,492660.550459
Alpha Marketing,"new Date(2013,1,1)",2031,1.84,3800000.0,Advertising & Marketing,18,Raleigh,NC,211111.111111
Sonic Boom Wellness,"new Date(2013,1,1)",2040,1.83,2200000.0,Software,24,Carlsbad,CA,91666.6666667
Breakthrough Technologies,"new Date(2013,1,1)",2049,1.82,5200000.0,Software,31,Evanston,IL,167741.935484
Teknicks,"new Date(2013,1,1)",2051,1.82,2500000.0,Advertising & Marketing,15,Bay Head,NJ,166666.666667
MD On-Line,"new Date(2013,1,1)",2052,1.82,27500000.0,Software,240,Parsippany,NJ,114583.333333
SimVentions,"new Date(2013,1,1)",2062,1.81,18700000.0,Software,107,Fredericksburg,VA,174766.35514
Entrance Software,"new Date(2013,1,1)",2064,1.81,5400000.0,Software,35,Houston,TX,154285.714286
Proforma Progressive Marketing,"new Date(2013,1,1)",2085,1.79,2900000.0,Advertising & Marketing,6,Bakersfield,CA,483333.333333
Gragg Advertising,"new Date(2013,1,1)",2086,1.79,42700000.0,Advertising & Marketing,66,Kansas City,MO,646969.69697
React2Media,"new Date(2013,1,1)",2089,1.78,5600000.0,Advertising & Marketing,15,New York,NY,373333.333333
Mom Central Consulting,"new Date(2013,1,1)",2094,1.78,5800000.0,Advertising & Marketing,30,Newton,MA,193333.333333
Net Atlantic,"new Date(2013,1,1)",2097,1.78,9300000.0,Advertising & Marketing,39,Salem,MA,238461.538462
Faction Media,"new Date(2013,1,1)",2105,1.77,8100000.0,Advertising & Marketing,46,Denver,CO,176086.956522
Simplicity Consulting,"new Date(2013,1,1)",2106,1.77,21200000.0,Advertising & Marketing,154,Kirkland,WA,137662.337662
Retail Solutions,"new Date(2013,1,1)",2111,1.77,37300000.0,Software,281,Mountain View,CA,132740.213523
Succeed Management Solutions,"new Date(2013,1,1)",2133,1.74,2600000.0,Software,25,Wilsonville,OR,104000.0
Wovenware,"new Date(2013,1,1)",2140,1.73,2300000.0,Software,29,San Juan,PR,79310.3448276
DataSong,"new Date(2013,1,1)",2141,1.73,4300000.0,Advertising & Marketing,45,San Francisco,CA,95555.5555556
Infuse Medical,"new Date(2013,1,1)",2143,1.73,5300000.0,Advertising & Marketing,37,Lehi,UT,143243.243243
Nebo Agency,"new Date(2013,1,1)",2151,1.73,4600000.0,Advertising & Marketing,40,Atlanta,GA,115000.0
206inc,"new Date(2013,1,1)",2164,1.71,14000000.0,Advertising & Marketing,37,Seattle,WA,378378.378378
Somnio Solutions,"new Date(2013,1,1)",2170,1.71,6600000.0,Advertising & Marketing,42,Austin,TX,157142.857143
CITYTECH,"new Date(2013,1,1)",2171,1.7,12300000.0,Software,65,Chicago,IL,189230.769231
RICS Software,"new Date(2013,1,1)",2177,1.7,3400000.0,Software,42,Indianapolis,IN,80952.3809524
GetResponse,"new Date(2013,1,1)",2183,1.69,5000000.0,Advertising & Marketing,173,Wilmington,DE,28901.734104
Spire Communications,"new Date(2013,1,1)",2193,1.68,2900000.0,Advertising & Marketing,16,Alexandria,VA,181250.0
Appointment-Plus,"new Date(2013,1,1)",2199,1.68,4700000.0,Software,58,Scottsdale,AZ,81034.4827586
Anthem Marketing Solutions,"new Date(2013,1,1)",2205,1.68,3400000.0,Advertising & Marketing,25,Chicago,IL,136000.0
inVNT,"new Date(2013,1,1)",2209,1.67,25500000.0,Advertising & Marketing,44,New York,NY,579545.454545
eMaint Enterprises,"new Date(2013,1,1)",2215,1.67,5800000.0,Software,36,Marlton,NJ,161111.111111
Globo Mobile,"new Date(2013,1,1)",2218,1.67,4500000.0,Software,320,New York,NY,14062.5
The Pedowitz Group,"new Date(2013,1,1)",2225,1.66,8600000.0,Advertising & Marketing,51,Alpharetta,GA,168627.45098
PowerDMS,"new Date(2013,1,1)",2226,1.66,4500000.0,Software,38,Orlando,FL,118421.052632
ControlCase,"new Date(2013,1,1)",2237,1.65,5400000.0,Software,90,McLean,VA,60000.0
ABIS,"new Date(2013,1,1)",2240,1.65,2000000.0,Software,8,Houston,TX,250000.0
Nina Hale,"new Date(2013,1,1)",2244,1.64,3500000.0,Advertising & Marketing,32,Minneapolis,MN,109375.0
San Diego Sign Company,"new Date(2013,1,1)",2245,1.64,15500000.0,Advertising & Marketing,91,Carlsbad,CA,170329.67033
Equus Software,"new Date(2013,1,1)",2255,1.63,9800000.0,Software,38,Denver,CO,257894.736842
Cvent,"new Date(2013,1,1)",2261,1.62,83500000.0,Software,1300,Mclean,VA,64230.7692308
ExtensionEngine,"new Date(2013,1,1)",2264,1.62,5200000.0,Software,110,Cambridge,MA,47272.7272727
Gatesman Dave,"new Date(2013,1,1)",2272,1.61,17300000.0,Advertising & Marketing,38,Pittsburgh,PA,455263.157895
Groove Commerce,"new Date(2013,1,1)",2276,1.61,2300000.0,Advertising & Marketing,26,Baltimore,MD,88461.5384615
"Sigma (Oradell, NJ)","new Date(2013,1,1)",2277,1.6,28000000.0,Advertising & Marketing,55,Oradell,NJ,509090.909091
Celerant Technology,"new Date(2013,1,1)",2280,1.6,18200000.0,Software,80,Staten Island,NY,227500.0
CMDI,"new Date(2013,1,1)",2288,1.6,12400000.0,Software,52,Tysons Corner,VA,238461.538462
PatientLink Enterprises,"new Date(2013,1,1)",2293,1.59,2600000.0,Software,13,Oklahoma City,OK,200000.0
The Starr Conspiracy,"new Date(2013,1,1)",2295,1.59,3800000.0,Advertising & Marketing,32,Fort Worth,TX,118750.0
Infusionsoft,"new Date(2013,1,1)",2296,1.59,39000000.0,Software,360,Chandler,AZ,108333.333333
Strategic Marketing,"new Date(2013,1,1)",2301,1.58,2700000.0,Advertising & Marketing,28,Milwuakie,OR,96428.5714286
ClickMail Marketing,"new Date(2013,1,1)",2304,1.58,5600000.0,Advertising & Marketing,18,San MAteo,CA,311111.111111
AirSage,"new Date(2013,1,1)",2309,1.58,5000000.0,Software,28,Atlanta,GA,178571.428571
BubbleUp,"new Date(2013,1,1)",2315,1.57,6100000.0,Advertising & Marketing,35,The Woodlands,TX,174285.714286
Genuine Interactive,"new Date(2013,1,1)",2316,1.57,13000000.0,Advertising & Marketing,80,Boston,MA,162500.0
Sweet Spot Marketing,"new Date(2013,1,1)",2343,1.55,2200000.0,Advertising & Marketing,12,overland park,KS,183333.333333
Diablo Media,"new Date(2013,1,1)",2357,1.54,24300000.0,Advertising & Marketing,22,Denver,CO,1104545.45455
Exclusive Concepts,"new Date(2013,1,1)",2361,1.53,5100000.0,Advertising & Marketing,31,Burlington,MA,164516.129032
True Media,"new Date(2013,1,1)",2366,1.53,35800000.0,Advertising & Marketing,52,Columbia,MO,688461.538462
DiGennaro Communications,"new Date(2013,1,1)",2372,1.52,4700000.0,Advertising & Marketing,32,New York,NY,146875.0
Response Marketing,"new Date(2013,1,1)",2376,1.52,2300000.0,Advertising & Marketing,19,New Haven,CT,121052.631579
Nitro,"new Date(2013,1,1)",2386,1.51,15500000.0,Software,85,San Francisco,CA,182352.941176
ShipCompliant,"new Date(2013,1,1)",2391,1.51,5400000.0,Software,31,Boulder,CO,174193.548387
Rain,"new Date(2013,1,1)",2399,1.51,10700000.0,Advertising & Marketing,74,New York,NY,144594.594595
Sullivan,"new Date(2013,1,1)",2405,1.5,9900000.0,Advertising & Marketing,63,New York,NY,157142.857143
RFID Global Solution,"new Date(2013,1,1)",2411,1.5,5600000.0,Software,20,Reston,VA,280000.0
Attack!,"new Date(2013,1,1)",2412,1.5,8800000.0,Advertising & Marketing,55,San Francisco,CA,160000.0
Left Field Labs,"new Date(2013,1,1)",2418,1.49,2300000.0,Advertising & Marketing,8,Venice,CA,287500.0
Giant Partners,"new Date(2013,1,1)",2423,1.49,6600000.0,Advertising & Marketing,55,Westlake Village,CA,120000.0
Redtail Technology,"new Date(2013,1,1)",2425,1.49,5900000.0,Software,44,Gold River,CA,134090.909091
Bridgevine,"new Date(2013,1,1)",2428,1.49,54000000.0,Advertising & Marketing,100,Vero Beach,FL,540000.0
Kyriba,"new Date(2013,1,1)",2438,1.48,29400000.0,Software,260,San Diego,CA,113076.923077
AmeriCommerce,"new Date(2013,1,1)",2439,1.48,2800000.0,Software,27,Beaumont,TX,103703.703704
Proforma GPS Global Promotional Sourcing,"new Date(2013,1,1)",2442,1.48,5400000.0,Advertising & Marketing,7,Las Vegas,NV,771428.571429
Hot Studio,"new Date(2013,1,1)",2444,1.47,15600000.0,Advertising & Marketing,71,San Francisco,CA,219718.309859
Smarsh,"new Date(2013,1,1)",2455,1.46,26800000.0,Software,145,Portland,OR,184827.586207
Taphandles,"new Date(2013,1,1)",2457,1.46,21200000.0,Advertising & Marketing,484,seattle,WA,43801.6528926
Centro,"new Date(2013,1,1)",2462,1.45,185500000.0,Advertising & Marketing,271,Chicago,IL,684501.845018
Infutor Data Solutions,"new Date(2013,1,1)",2470,1.45,18500000.0,Advertising & Marketing,53,Plainfield,IL,349056.603774
rEvolution,"new Date(2013,1,1)",2474,1.45,26600000.0,Advertising & Marketing,70,Chicago,IL,380000.0
Salesify,"new Date(2013,1,1)",2476,1.45,5900000.0,Advertising & Marketing,352,Redwood City,CA,16761.3636364
Intelligent Software Solutions,"new Date(2013,1,1)",2482,1.44,192300000.0,Software,758,Colorado Springs,CO,253693.931398
Triad Retail Media,"new Date(2013,1,1)",2485,1.43,171300000.0,Advertising & Marketing,289,Tampa,FL,592733.564014
Hard Dollar,"new Date(2013,1,1)",2487,1.43,11800000.0,Software,56,Scottsdale,AZ,210714.285714
OppSource,"new Date(2013,1,1)",2490,1.42,2800000.0,Advertising & Marketing,29,St. Paul,MN,96551.7241379
Hooah,"new Date(2013,1,1)",2523,1.41,5000000.0,Advertising & Marketing,10,Winter Park,FL,500000.0
Spectrio,"new Date(2013,1,1)",2527,1.4,15400000.0,Advertising & Marketing,68,Oldsmar,FL,226470.588235
Orchestro,"new Date(2013,1,1)",2547,1.39,8400000.0,Software,50,McLean,VA,168000.0
Republica,"new Date(2013,1,1)",2558,1.38,10700000.0,Advertising & Marketing,67,Miami,FL,159701.492537
EverySport.net,"new Date(2013,1,1)",2564,1.38,5100000.0,Software,4,Chesterfield,MO,1275000.0
WideOrbit,"new Date(2013,1,1)",2575,1.37,64100000.0,Software,340,San Francisco,CA,188529.411765
SafeSoft Solutions,"new Date(2013,1,1)",2584,1.36,2900000.0,Software,19,Woodland Hills,CA,152631.578947
